"Рег. 
№
марш-рута (далее-м-та) п/п","Порядковый
№
Маршрута","Наименование
Маршрута","Наименование остановочных пунктов маршрута. Направление движения","Наименование улиц и дорог, по которым проходит маршрут","Протяженность
Маршрута","Порядок посадки и высадки пассажиров","Вид регулярных перевозок","Вид","Класс","Макс. кол-во тр. ср-в (основное+резерв)","Экологические характеристики тр.  ср-в","Дата начала          осуществления рег. перевозок","Наименование
Перевозчика","Юридический
адрес
Перевозчика","Вид сообщения (городское, пригородное)","Тариф день (стоимость проезда,руб.)","Время первого выхода на маршрут (утро)","Время последнего выхода на маршрут (вечер)","Расписание/интервальный режим (мин)","Категория лиц со льготным проездом","Телефоны перевозчика","Ответственный орган Городской Управы города Калуги","Телефон ответственного органа Городской Управы города Калуги","Координаты движения маршрута"
2,"1","ст. Калуга-I - парк им. К.Э.
Циолковского","Машзавод - сквер Комсомола (ул.Ленина)- Концертный зал - 
к-тр «Централь-
ный» -
Городская Управа -
пл.Старый торг - Каменный мост -
ул.Баумана -
Школа № 6","ул.Ленина;
ул.Баженова;
ул.Пушкина;
ул.Академика Королева","5.2","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Ма-лый","10
(8+2)","любой","41507","ООО «Эгоном-1»","г.Калуга,
ул.Кирова, д.7/47","городское",22,6.58,22.30,"5-30",,"55-80-10","Управление городского хозяйства города Калуги","70-11-34","[[54.534174, 36.278199], [54.534205, 36.277716], [54.512281, 36.262887], [54.506444, 36.253854], [54.507131, 36.251815], [54.512231, 36.243082], [54.515415, 36.234118], [54.515206, 36.234016], [54.515212, 36.234510], [54.511838, 36.243808], [54.507108, 36.251795], [54.506952, 36.252771], [54.506435, 36.253866], [54.512251, 36.262870], [54.532968, 36.276863], [54.533255, 36.277946], [54.533866, 36.278461], [54.534184, 36.278204]]"
3,"2 (л)","Терепец - парк им. К.Э.
Циолковского","ост.по требованию (в ст.мкр.Терепец)- ул.Азаровская -
Путепровод -
ул.Поселковая -
ГПТУ № 6 -
Троллейбусное 
депо -
Трансмаш -
маг. «Спутник» -
пл.Московская -
ул.К.Либкнехта (ул.Московская) -
Школа № 14 -
ул.Огарева -
Дом быта - Городская Управа - пл.Старый торг - Каменный мост -
ул.Баумана -
Школа № 6","ул.Азаровская;
ул.Московская;
ул.Ленина;
ул.Баженова;
ул.Пушкина;
ул.Академика Королева","9.300000000000001","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по регули-руемым 
тарифам","Трол-лей-бус","Боль-
шой","5","-","20544","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",19,6.10,23.30,"3-40","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.566166, 36.272399], [54.565574, 36.272120], [54.564078, 36.267968], [54.564894, 36.259492], [54.546374, 36.269641], [54.529991, 36.269716], [54.520400, 36.263311], [54.518041, 36.263054], [54.510282, 36.259792], [54.506430, 36.253838], [54.507010, 36.252657], [54.507148, 36.251788], [54.512221, 36.243166], [54.512290, 36.242511], [54.515402, 36.234132], [54.515234, 36.233955], [54.515118, 36.234186], [54.515237, 36.234454], [54.511804, 36.243885], [54.509275, 36.247972], [54.507097, 36.251877], [54.506965, 36.252714], [54.506447, 36.253895], [54.510351, 36.259830], [54.518078, 36.263134], [54.520687, 36.263542], [54.530969, 36.270353], [54.531606, 36.269816], [54.546927, 36.269537], [54.563523, 36.260415], [54.564826, 36.260351], [54.564096, 36.267968], [54.565593, 36.272153], [54.566291, 36.272743]]"
4,"2","Терепец - парк им. К.Э.
Циолковского","ост.по требованию (в ст.мкр.Терепец)- ул.Азаровская -
Путепровод -
ул.Поселковая -
ГПТУ № 6 -
Троллейбусное 
депо -
Трансмаш -
маг. «Спутник» -
пл.Московская -
ул.К.Либкнехта (ул.Московская) -
Школа № 14 -
ул.Огарева -
Дом быта - Городская Управа - пл.Старый торг - Каменный мост -
ул.Баумана -
Школа № 6","ул.Азаровская;
ул.Московская;
ул.Ленина;
ул.Баженова;
ул.Пушкина;
ул.Академика Королева","9.300000000000001","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Ма-лый","12
(10+2)","любой","41507","ООО «Гефест»","г.Калуга,
ул.Зерновая, д.22а","городское",22,5.37,22.40,"8-60",,"51-57-61","Управление городского хозяйства города Калуги","70-11-34","[[54.566166, 36.272399], [54.565574, 36.272120], [54.564078, 36.267968], [54.564894, 36.259492], [54.546374, 36.269641], [54.529991, 36.269716], [54.520400, 36.263311], [54.518041, 36.263054], [54.510282, 36.259792], [54.506430, 36.253838], [54.507010, 36.252657], [54.507148, 36.251788], [54.512221, 36.243166], [54.512290, 36.242511], [54.515402, 36.234132], [54.515234, 36.233955], [54.515118, 36.234186], [54.515237, 36.234454], [54.511804, 36.243885], [54.509275, 36.247972], [54.507097, 36.251877], [54.506965, 36.252714], [54.506447, 36.253895], [54.510351, 36.259830], [54.518078, 36.263134], [54.520687, 36.263542], [54.530969, 36.270353], [54.531606, 36.269816], [54.546927, 36.269537], [54.563523, 36.260415], [54.564826, 36.260351], [54.564096, 36.267968], [54.565593, 36.272153], [54.566291, 36.272743]]"
,"3
(л)","Кольцевой","КЗТА -
Поликлиника № 7 - СК «Энергия» - ГПТУ-10 -
ул. Ф.Энгельса - 
ул. Николо-Козинская - ул. Беляева - Детская больница - ул. Вилонова (наруж. кольцо) -
пл. Старый торг - Каменный мост - ул. Баумана -  КФ МГТУ им.Баумана-Школа № 6 (ул.Королева) - парк им. К.Э.Циолковского -
пл. Мира - 
ТРК «XXI век» - ул.Кирова - ТРЦ «РИО»  -  Драмтеатр-           К-тр «Централь -
ный» - пл. Победы - ул.Мичурина- Аптека № 3 - Больница № 4 - 
К-тр «Спартак» - 
СК «Юность»","ул.Салыкова-Щедрина;
ул.Кутузова;
ул.Баженова;
ул.Пушкина;
ул.Академика Королева;
ул.Гагарина;
ул.Кирова;
ул.Степана 
Разина;
ул.Никитина;
ул.Болдина.","10.44","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по регули-руемым 
тарифам","Трол-лей-бус","Боль-
шой","16","-","21494","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",19,5.35,23.53,"3-40","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.503213, 36.301853], [54.501202, 36.300930], [54.499510, 36.295062], [54.499069, 36.275735], [54.501104, 36.264888], [54.503396, 36.258569], [54.505494, 36.255865], [54.507005, 36.252636], [54.507161, 36.251724], [54.512236, 36.243109], [54.512349, 36.242390], [54.515264, 36.234440], [54.513535, 36.239118], [54.515539, 36.243087], [54.515245, 36.244428], [54.515632, 36.245963], [54.512601, 36.271829], [54.511877, 36.273245], [54.506402, 36.276389], [54.508356, 36.286517], [54.506227, 36.291506], [54.504298, 36.301816], [54.503168, 36.301805]]"
6,"3","Кольцевой","КЗТА - 
Поликлиника № 7- СК «Энергия» - ГПТУ-10 -
ул. Ф.Энгельса - 
ул. Николо-Козинская - ул. Беляева - Детская больница - ул. Вилонова (наруж. кольцо) -
пл. Старый торг - Каменный мост - ул. Баумана -КФ МГТУ им.Баумана- Школа № 6 (ул.Королева) - парк им.К.Э.Циол-ковского -
пл. Мира - ТРК «XXIвек» - ул.Кирова - ТРЦ «РИО»  - Драмтеатр-            К-тр «Центральный» - 
пл. Победы - ул.Мичурина- Аптека № 3 - Больница № 4 - 
К-тр «Спартак» - 
СК «Юность»","ул.Салтыкова-Щедрина;
ул.Кутузова;
ул.Баженова;
ул.Пушкина;
ул.Академика Королева;
ул.Гагарина;
ул.Кирова;
ул.Степана Разина;
ул.Никитина;
ул.Болдина.","10.44","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-
бус","Ма-лый","4
(2+2)","любой","42363","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",22,5.21,0.00,"5-25","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.503168, 36.301805], [54.504292, 36.301827], [54.506196, 36.291613], [54.508391, 36.286484], [54.506448, 36.276732], [54.512092, 36.273641], [54.512916, 36.274338], [54.513472, 36.272954], [54.512810, 36.271613], [54.515822, 36.245756], [54.516796, 36.245005], [54.516665, 36.243321], [54.515710, 36.242817], [54.513594, 36.238922], [54.515373, 36.234040], [54.515235, 36.233960], [54.515123, 36.234169], [54.515232, 36.234464], [54.511805, 36.243916], [54.510301, 36.246604], [54.509324, 36.247886], [54.507120, 36.251809], [54.506945, 36.252860], [54.505525, 36.255859], [54.503814, 36.257887], [4.502044, 36.261787], [54.501038, 36.265016], [54.499050, 36.275611], [54.499445, 36.294911], [54.501253, 36.301090], [54.503132, 36.301820]]"
,,,,,,,,,,,,,,,,,,,,,,"Управление городского хозяйства города Калуги","70-11-34","[[54.492681, 36.202670], [54.491201, 36.206216], [54.490127, 36.205637], [54.491326, 36.211269], [54.491976, 36.216595], [54.493288, 36.228290], [54.499596, 36.229054], [54.510360, 36.233453], [54.515603, 36.242900], [54.515728, 36.245733], [54.512715, 36.271684], [54.512765, 36.274473], [54.514887, 36.284623], [54.518932, 36.291897], [54.520280, 36.292648], [54.523013, 36.292455], [54.523912, 36.299944], [54.528380, 36.298356], [54.528555, 36.299536], [54.534445, 36.298785], [54.534620, 36.300544], [54.542818, 36.321664], [54.552186, 36.345761], [54.550428, 36.347156], [54.548619, 36.350417], [54.546399, 36.352585], [54.545850, 36.354194], [54.545276, 36.362283], [54.546274, 36.364944], [54.545276, 36.362283], [54.545850, 36.354194], [54.546399, 36.352585], [54.548619, 36.350417], [54.550428, 36.347156], [54.552186, 36.345761], [54.542818, 36.321664], [54.534620, 36.300544], [54.534445, 36.298785], [54.528555, 36.299536], [54.528380, 36.298356], [54.523912, 36.299944], [54.523013, 36.292455], [54.520280, 36.292648], [54.518932, 36.291897], [54.514887, 36.284623], [54.512765, 36.274473], [54.512715, 36.271684], [54.515728, 36.245733], [54.515603, 36.242900], [54.510360, 36.233453], [54.499596, 36.229054], [54.493288, 36.228290], [54.490961, 36.206930], [54.492681, 36.202670]]"
7,"4","Правобережье
пл.Мира -  Аэропорт","Библиотека -
Школа искусств -
поворот ул.Генерала Попова- Шопинский поворот-
д.Ромоданово -
КФ МГТУ 
им.Баумана -
пл. Мира - 
ТРК «XXIвек» -
ул.Кирова -        ТРЦ «РИО»  - Драмтеатр-
К-тр «Централь -
ный» - пл.Победы -
Торговая база -
Железнодорожная больница -
Строительный техникум -
пл.Маяковского -
ул.Чапаева -
Почта - 
ул.Моторная -
Тайфун - Дубрава -
Нефтебаза -
Пос.Дубрава -
Гипермаркет 
«К-Раута» -  База - 
пов. Аэропорт","ул.Генерала Попова; Тульское шоссе; ул.Гагарина;
ул.Кирова; ул.Маршала Жукова; ул.Чапаева; ул.Заводская; ул.Новаторская; ул.Моторная; Грабцевское шоссе;
ул.Взлетная","15.5","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-
бус","Сред-
ний","26
(22+4)","любой","40116","ООО «Гортранс-сервис»","г.Калуга,
ул.Московская, д.258","городское",22,5.00,22.15,"5-25",,"59-45-15","Управление городского хозяйства города Калуги","70-11-34","[[54.502567, 36.261907], [54.512257, 36.262872], [54.519473, 36.267722], [54.520034, 36.263312], [54.530962, 36.270382], [54.531553, 36.269808], [54.546400, 36.269636], [54.551440, 36.267748], [54.569621, 36.256568], [54.573823, 36.255474], [54.577587, 36.255667], [54.584393, 36.252642], [54.592912, 36.257074], [54.602960, 36.264509], [54.603237, 36.265008], [54.603524, 36.264879], [54.603328, 36.264407], [54.602988, 36.264466], [54.587241, 36.253801], [54.587583, 36.251688], [54.586238, 36.251580], [54.585733, 36.253039], [54.584586, 36.252578], [54.581689, 36.253651], [54.581458, 36.252643], [54.577139, 36.254273], [54.577233, 36.255657], [54.574016, 36.255453], [54.568855, 36.256913], [54.551409, 36.267620], [54.546320, 36.269680], [54.530037, 36.269701], [54.520052, 36.263200], [54.519446, 36.267684], [54.512218, 36.262867], [54.502279, 36.261784], [54.502260, 36.262116], [54.502522, 36.262030]]"
8,"5","пос.Северный - Швейная фабрика","Универмаг -
Дачная -
мкр.Байконур -
ТРЦ «Торговый квартал» -
ул.Кибальчича -
30 микрорайон - ул.Кубяка - 
Лицей № 13 - ул.Азаровская - Путепровод - ул.Поселковая - ГПТУ № 6 - Троллейбусное 
депо - Трансмаш - маг. «Спутник» - пл.Московская - ул.К.Либкнехта (ул.Московская) - Школа № 14 - ул.Баррикад - К-тр «Центральный» - библиотека им. Белинского - ул.Никитина","ул.Московская;
ул.Небесная;
ул.Кубяка;
ул.Московская;
ул.Баррикад;
ул.Ленина;
ул.Луначарского","12","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по регули-руемым 
тарифам","Трол-лей-бус","Боль-
шой","7","-","25322","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",19,5.46,23.17,"3-40","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.603336, 36.264468], [54.587217, 36.253865], [54.587566, 36.251703], [54.586208, 36.251676], [54.585750, 36.253081], [54.581649, 36.253739], [54.581412, 36.252773], [54.577193, 36.254329], [54.577230, 36.255713], [54.551401, 36.267801], [54.550503, 36.267801], [54.549867, 36.268449], [54.529987, 36.269764], [54.525332, 36.266632], [54.521600, 36.284036], [54.523911, 36.300050], [54.528417, 36.298269], [54.528566, 36.299599], [54.534407, 36.298848], [54.540857, 36.316648], [54.541029, 36.316144], [54.538602, 36.310864], [54.534491, 36.298869], [54.535514, 36.298226], [54.535028, 36.298140], [54.528516, 36.299521], [54.528422, 36.298287], [54.523881, 36.299962], [54.523112, 36.293529], [54.521685, 36.284057], [54.525395, 36.266747], [54.530961, 36.270418], [54.531647, 36.269838], [54.546419, 36.269632], [54.551405, 36.267753], [54.551706, 36.267854], [54.569979, 36.256436], [54.577873, 36.255607], [54.584777, 36.252712], [54.602935, 36.264491], [54.603203, 36.264953]]"
9,"6","Дубрава – пос.Северный","Тайфун - КРЛЗ- ул.Моторная  -
Почта - ул.Чапаева- пл.Маяковского - Городской рынок - ул.К.Либкнехта - пл.Московская - 
маг. «Спутник» - Трансмаш - Троллейбусное 
депо - ГПТУ № 6 - ул.Поселковая - Путепровод - ул.Азаровская - Лицей № 13 - ул.Кибальчича - 
30 микрорайон - ТРЦ «Торговый квартал»-  мкр. «Байконур» - Дачная - Универмаг","Грабцевское шоссе; ул.Моторная; ул.Новаторская; ул.Заводская; ул.Чапаева; ул.К.Либкнехта; ул.Московская.","14","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по регули-руемым 
тарифам","Трол-лей-бус","Боль-
шой","9","-","25906","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",19,6.00,23.57,"3-40","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.515320, 36.249691], [54.515526, 36.247760], [54.522127, 36.251043], [54.520991, 36.259629], [54.527756, 36.261431], [54.531699, 36.261367], [54.530252, 36.269842], [54.536261, 36.274795], [54.545274, 36.282136], [54.546359, 36.286020], [54.554635, 36.291766], [54.570227, 36.306596], [54.570386, 36.306331], [54.560157, 36.295536], [54.546853, 36.286456], [54.545484, 36.282254], [54.542988, 36.281544], [54.537479, 36.275416], [54.536164, 36.274780], [54.531401, 36.270629], [54.530939, 36.269664], [54.530446, 36.268773], [54.531776, 36.261283], [54.520958, 36.259757], [54.521723, 36.254074], [54.515112, 36.250670], [54.515299, 36.249683]]"
10,"8
(л)","ул.Кирова – 
ул. Ольговская","Дворики - Обувная фабрика - ул.Механизаторов - Школа № 25 - ул.Зерновая - Синие мосты - ул.Бутомы - СК «Дельфин» - пл.Московская - ул.Билибина - ул.Пухова - пл.Телевизионная - ул.Огарева - ул.Пролетарская -
ТРК «XXIвек»","ул.Тарутинская; ул.Глаголева; ул.Билибина; ул.Телевизион - ная;
ул.Труда; 
ул. Рылеева, ул.Кирова; ул.Плеханова","8.199999999999999","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по регули-руемым 
тарифам","Трол-лей-бус","Боль-
шой","7","-","31.11.1972","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",19,5.39,23.35,"3-40","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области, города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.515320, 36.249691], [54.515526, 36.247760], [54.522127, 36.251043], [54.520991, 36.259629], [54.527756, 36.261431], [54.531699, 36.261367], [54.530252, 36.269842], [54.536261, 36.274795], [54.545274, 36.282136], [54.546359, 36.286020], [54.554635, 36.291766], [54.570227, 36.306596], [54.570386, 36.306331], [54.560157, 36.295536], [54.546853, 36.286456], [54.545484, 36.282254], [54.542988, 36.281544], [54.537479, 36.275416], [54.536164, 36.274780], [54.531401, 36.270629], [54.530939, 36.269664], [54.530446, 36.268773], [54.531776, 36.261283], [54.520958, 36.259757], [54.521723, 36.254074], [54.515112, 36.250670], [54.515299, 36.249683]]"
11,"8
(с)","ул.Кирова – 
ул. Ольговская","Дворики - Обувная фабрика - ул.Механизаторов - Школа № 25 - ул.Зерновая - Синие мосты - ул.Бутомы - СК «Дельфин» - пл.Московская - ул.Билибина - ул.Пухова - пл.Телевизионная -  ул.Огарева - ул.Пролетарская -
ТРК «XXI век»","ул.Тарутинская; ул.Глаголева; ул.Билибина; ул.Телевизион - ная;
ул.Труда; 
ул.Рылеева, ул.Кирова; ул.Плеханова","8.199999999999999","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-
бус","Сред-
ний","20
(16+4)","любой","41507","ООО «Эгоном-3»","г.Калуга,
ул.Кирова,
д.7/47","городское",22,5.50,22.25,"4-30",,"55-80-10","Управление городского хозяйства города Калуги","70-11-34","[[54.515320, 36.249691], [54.515526, 36.247760], [54.522127, 36.251043], [54.520991, 36.259629], [54.527756, 36.261431], [54.531699, 36.261367], [54.530252, 36.269842], [54.536261, 36.274795], [54.545274, 36.282136], [54.546359, 36.286020], [54.554635, 36.291766], [54.570227, 36.306596], [54.570386, 36.306331], [54.560157, 36.295536], [54.546853, 36.286456], [54.545484, 36.282254], [54.542988, 36.281544], [54.537479, 36.275416], [54.536164, 36.274780], [54.531401, 36.270629], [54.530939, 36.269664], [54.530446, 36.268773], [54.531776, 36.261283], [54.520958, 36.259757], [54.521723, 36.254074], [54.515112, 36.250670], [54.515299, 36.249683]]"
12,"8
(м)","ул.Кирова – 
ул. Ольговская","Дворики - Обувная фабрика - ул.Механизаторов - Школа № 25 - ул.Зерновая - Синие мосты - ул.Бутомы -
СК «Дельфин» - пл.Московская - ул.Билибина - ул.Пухова - пл.Телевизионная - ул.Огарева  - ул.Пролетарская -
ТРК «XXIвек»","ул.Тарутинская; ул.Глаголева; ул.Билибина; ул.Телевизион  - ная;
ул.Труда; 
ул.Рылеева, ул.Кирова; ул.Плеханова","8.199999999999999","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-
бус","Ма-лый","8
(6+2)","любой","41571","ООО «Эталон-Сервис»","г.Калуга,
ул.Ленина,
д.6а, оф.7","городское",22,6.10,22.30,"10-60",,"21-21-31","Управление городского хозяйства города Калуги","70-11-34","[[54.603351, 36.264499], [54.587251, 36.253827], [54.587563, 36.251703], [54.586236, 36.251649], [54.585762, 36.253055], [54.581698, 36.253684], [54.581396, 36.252729], [54.577202, 36.254323], [54.577208, 36.255632], [54.551417, 36.267714], [54.550477, 36.267735], [54.549877, 36.268359], [54.540128, 36.269630], [54.540327, 36.264887], [54.520918, 36.259828], [54.521667, 36.254163], [54.515051, 36.250687], [54.515488, 36.247618], [ 54.522192, 36.250901], [54.520933, 36.259782], [54.536263, 36.261415], [54.540181, 36.264934], [54.540079, 36.269827], [54.551403, 36.267757], [54.551712, 36.267816], [54.569137, 36.256828], [54.577599, 36.255672], [54.584159, 36.252699], [54.590462, 36.255657], [54.602949, 36.264478], [54.603184, 36.264944]]"
13,"9
(л)","ул.Кирова –
пос.Северный","ТРК «XXIвек»-ул.Пролетарская-ул.Огарева - пл.Телевизионная - ул.Пухова - ул.Билибина - Школа № 7 - Сосновая 
роща - 
Гипермаркет «Линия» - Троллейбусное 
депо - ГПТУ № 6 - ул.Поселковая - Путепровод - ул.Азаровская -
Лицей № 13 - ул.Кубяка - 
30 микрорайон - ул.Кибальчича - ТРЦ «Торговый -
квартал» -
мкр «Байконур» - Дачная - Универмаг","ул.Рылеева;
ул.Кирова;
ул.Плеханова;
ул.Труда; 
ул.Рылеева;
ул.Телеви-зионная; пер.Безымян-ный;
ул.Московская;
ул.Небесная;
ул.Кубяка","11.3","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по регули-руемым 
тарифам","Трол-лей-бус","Боль-
шой","6","-","31353","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",19,5.23,23.45,"3-40","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.594761, 36.280081], [54.594972, 36.280209], [54.595178, 36.277066], [54.597315, 36.265552], [54.597864, 36.265241], [54.598935, 36.265938], [54.599882, 36.262129], [54.602991, 36.264520], [54.603240, 36.265089], [54.603520, 36.264896], [54.603421, 36.264456], [54.602997, 36.264456], [54.599905, 36.262092], [54.587239, 36.253852], [54.587575, 36.251652], [54.586179, 36.251652], [54.585743, 36.253058], [54.584522, 36.252575], [54.581686, 36.253669], [54.581474, 36.252650], [54.577168, 36.254345], [54.577237, 36.255665], [54.573983, 36.255482], [54.569857, 36.256405], [54.551363, 36.267799], [54.546149, 36.269602], [54.530580, 36.269741], [54.531765, 36.261309], [54.526599, 36.261287], [54.520994, 36.259742], [54.521793, 36.254034], [54.515115, 36.250687], [54.515514, 36.247640], [54.522193, 36.250966], [54.521007, 36.259742], [54.527210, 36.261394], [54.536262, 36.261266], [54.540255, 36.264849], [54.540130, 36.269741], [54.546455, 36.269613], [54.551594, 36.267660], [54.569115, 36.256738], [54.574289, 36.255365], [54.577817, 36.255601], [54.584299, 36.252615], [54.592399, 36.256713], [54.599900, 36.262099], [54.603002, 36.264524], [54.603251, 36.265007], [54.603569, 36.264867], [54.603301, 36.264374], [54.602989, 36.264513], [54.599887, 36.262099], [54.598916, 36.265972], [54.597863, 36.265253], [54.597352, 36.265468], [54.595153, 36.277162], [54.595004, 36.279437], [54.594792, 36.279888]]"
14,"9","ул.Кирова – 
д. Канищево –
пос.Северный","ТРК «XXI век»- ул.Пролетарская - ул.Огарева - пл.Телевизионная - ул.Пухова - ул.Билибина - 
Школа № 7 - Сосновая роща - 
Гипермаркет «Линия» - Троллейбусное 
депо - ГПТУ № 6 - ул.Поселковая - Путепровод - ул.Азаровская -
Лицей № 13 - ул.Кубяка -
30 микрорайон - ул.Кибальчича - 
ТРЦ «Торговый квартал» - 
мкр «Байконур» - Дачная - 
Универмаг - ул.Дорожная - Швейцарская деревня (ост. по требованию)","ул.Рылеева;
ул.Кирова;
ул.Плеханова;
ул.Труда; 
ул.Рылеева;
ул.Телеви-зионная; пер.Безымян-ный;
ул.Московская;
ул.Небесная;
ул.Кубяка;
ул.Майская; ул.Дорожная;
ул.Новая","13.3","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-
бус","Сред-
ний","25
(20+5)","любой","41507","ООО «Эгоном-3»","г.Калуга,
ул.Кирова,
д.7/47","городское",22,6.24,21.45,"4-15",,"55-80-10","Управление городского хозяйства города Калуги","70-11-34","[[54.568389, 36.229696], [54.566730, 36.241819], [54.565147, 36.243643], [54.560115, 36.246272], [54.557396, 36.254705], [54.556548, 36.261572], [54.556449, 36.266571], [54.555289, 36.270520], [54.547294, 36.282128], [54.545784, 36.282493], [54.545085, 36.281892], [54.543102, 36.281549], [54.538561, 36.277386], [54.537313, 36.275240], [54.536190, 36.274704], [54.531398, 36.270670], [54.530562, 36.269382], [54.530475, 36.268331], [54.531735, 36.261314], [54.527292, 36.261379], [54.520989, 36.259769], [54.521763, 36.254019], [54.515122, 36.250671], [54.515472, 36.247689], [54.522137, 36.250950], [54.521763, 36.254019], [54.520989, 36.259769], [54.527292, 36.261379], [54.531735, 36.261314], [54.530475, 36.268331], [54.530562, 36.269382], [54.531398, 36.270670], [54.536190, 36.274704], [54.537313, 36.275240], [54.538561, 36.277386], [54.543102, 36.281549], [54.545085, 36.281892], [54.545784, 36.282493], [54.547294, 36.282128], [54.555289, 36.270520], [54.556449, 36.266571], [54.556548, 36.261572], [54.557396, 36.254705], [54.560115, 36.246272], [54.565147, 36.243643], [54.566730, 36.241819], [54.568389, 36.229696]]"
